,Edad,Género,Horas_de_uso _de_la_tecnología,Horas_de_uso_de_las_redes_sociales,Horas_de_juego,Horas_de_tiempo_en_pantalla,Estado_de_salud_mental,Nivel_de_estrés,Horas_de_sueño,Horas_de_actividad_física,Acceso_a_sistemas_de_soporte,Impacto_en_el_entorno_laboral
0,23,Mujer,6.57,6.0,0.68,12.36,Buena,Bajo,8.01,6.71,No,Negativo
1,21,Hombre,3.01,2.57,3.74,7.61,Mala,Alto,7.28,5.88,Si,Positivo
2,51,Hombre,3.04,6.14,1.26,3.16,Neutral,Alto,8.04,9.81,No,Negativo
3,25,Mujer,3.84,4.48,2.59,13.08,Excelente,Medio,5.62,5.28,Si,Negativo
4,53,Hombre,1.2,0.56,0.29,12.63,Buena,Bajo,5.55,4.0,No,Positivo
5,58,Hombre,5.59,5.74,0.11,1.34,Mala,Bajo,8.61,6.54,Si,Neutral
6,63,Mujer,3.38,2.55,2.5259352591682034,9.78,Excelente,Medio,8.61,1.34,Si,Neutral
7,51,Mujer,7.18,4.1,4.74,7.965271254230335,Excelente,Medio,7.11,5.27,Si,Neutral
8,31,Otro,4.3,7.23,0.81,7.965271254230335,Excelente,Alto,5.09,0.47,No,Positivo
9,53,Otro,4.78,3.971435469268686,1.88,14.87,Mala,Alto,5.13,3.01,,Neutral
10,64,Otro,4.83,4.85,1.68,13.68,Neutral,Bajo,8.57,6.35,No,Neutral
11,40,Mujer,3.06,4.06,2.54,10.65,Mala,Alto,7.9,0.49,Si,Negativo
12,38,Mujer,10.48,4.53,0.94,10.27,Mala,Alto,7.13,7.14,Si,Negativo
13,53,Hombre,7.51,0.21,4.17,5.08,Buena,Medio,6.500054364240411,5.05,Si,Negativo
14,26,Mujer,6.4,5.4,4.76,11.4,Neutral,Alto,4.62,9.65,Si,Neutral
15,55,Mujer,2.03,6.56,2.01,14.88,Neutral,Bajo,8.95,8.96,Si,Negativo
16,55,Hombre,2.94,0.61,2.13,11.49,Excelente,Alto,7.71,7.51,Si,Neutral
17,37,Otro,10.74,3.85,1.29,6.0,Buena,Medio,5.69,7.77,Si,Positivo
18,57,Mujer,7.69,7.33,3.16,9.55,Neutral,Bajo,6.500054364240411,5.65,Si,Neutral
19,34,Hombre,8.44,1.14,2.28,1.51,Neutral,Alto,4.76,0.06,No,Negativo
20,38,Mujer,1.27,1.22,2.92,2.83,Mala,Bajo,4.01,6.48,No,Neutral
21,39,Hombre,2.06,5.99,3.96,9.8,Excelente,Bajo,5.83,7.59,Si,Negativo
22,42,Otro,6.23,3.88,1.52,14.16,Mala,Medio,5.73,8.7,No,Positivo
23,41,Otro,7.39,4.15,0.19,3.03,Mala,Medio,6.500054364240411,0.34,Si,Positivo
24,23,Hombre,2.2,0.06,2.49,12.79,Mala,Medio,5.33,6.55,No,Positivo
25,60,Otro,5.92,7.43,2.17,5.36,Neutral,Bajo,5.36,9.87,No,Negativo
26,20,Mujer,3.65,7.48,0.32,1.63,Excelente,Medio,8.01,9.28,Si,Neutral
27,40,Mujer,5.98,4.07,2.18,8.48,Neutral,Bajo,8.27,9.78,Si,Positivo
28,29,Mujer,11.8,6.11,2.86,8.05,Neutral,Medio,6.24,9.74,No,Positivo
29,30,Hombre,1.33,3.53,3.53,2.41,Buena,Bajo,5.02,7.84,,Negativo
30,37,Hombre,5.66,7.42,1.75,13.89,Mala,Bajo,5.77,8.17,Si,Negativo
31,41,Otro,11.76,6.25,0.9,11.1,Mala,Bajo,7.98,0.74,Si,Positivo
32,21,Otro,10.43,2.2,2.64,14.2,Buena,Alto,6.98,5.61,Si,Neutral
33,48,Hombre,7.05,1.62,3.62,1.22,Neutral,Bajo,6.7,5.26,Si,Neutral
34,57,Hombre,1.04,1.95,2.46,13.84,Excelente,Medio,7.59,8.4,No,Negativo
35,47,Otro,10.6,6.15,2.95,14.35,Excelente,Alto,5.0,4.1,No,Neutral
36,24,Otro,7.0,4.06,0.73,8.14,Mala,Alto,8.47,2.28,Si,Neutral
37,23,Mujer,2.06,5.93,1.97,8.76,Excelente,Alto,4.46,0.9,Si,Neutral
38,30,Mujer,3.34,4.26,2.33,2.75,Buena,Medio,4.38,1.48,Si,Positivo
39,45,Hombre,2.95,3.16,1.96,6.9,Mala,Medio,8.02,2.07,No,Negativo
40,38,Mujer,3.06,0.82,2.76,1.2,Excelente,Bajo,4.41,8.6,No,Neutral
